Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Technical Rating 4 hours,Industry
CIMDF,CIMB Group Holdings BHD,1.56,USD,20,400,0.08707198676505802,16736684260.894932,USD,9.042405752917656,0.17252046,USD,31.392343865002236,4.75896,Finance,Buy,Buy,Regional banks
CGBD,"Carlyle Secured Lending, Inc.",17.95,USD,0.33538289547232375,185869,0.8544436180023003,913767432,USD,10.408210599559318,1.7246,USD,31.188194127491247,10.4178,Finance,Neutral,Neutral,Investment managers
PSZKF,Powszechna Kasa Oszczednosci Bank Polski SA,14.26,USD,1.6393442622950851,346,0.08569659442724459,17825000180.258118,USD,9.10510027721493,1.566155184,USD,30.889165051590915,6.41153,Finance,Strong buy,Buy,Major banks
IMBBF,Imperial Brands PLC,32.008,USD,0,450,0.10640813431071175,26717327819.856407,USD,8.005546457080488,3.998228,USD,30.69822341653871,5.66082,Consumer non-durables,Buy,Sell,Tobacco
HMENF,Hemisphere Energy Corp.,1.29,USD,0.3891050583657678,51148,1.2312121474720046,125244090.27868852,USD,5.879030203380949,0.21942394499999998,USD,30.683848625536385,5.46448,Energy minerals,Strong buy,Neutral,Oil & gas production
CCS,"Century Communities, Inc.",72.24,USD,1.3752455795677654,293903,0.8620496980217056,2263789351.9999995,USD,7.202895516137716,10.0293,USD,30.57624205811894,1.43965,Consumer durables,Buy,Sell,Homebuilding
KUBTF,Kubota Corp.,12,USD,9.090909090909092,230,0.016541050572464185,13804357910.159134,USD,7.965850312087728,1.5064305164999998,USD,29.986934077135345,2.77239,Producer manufacturing,Buy,Sell,Trucks/Construction/Farm machinery
ISNPY,Intesa Sanpaolo S.p.A.,24.6,USD,1.1513157894736887,286475,2.267167676626983,72714061984.77203,USD,7.947533357025168,3.0953,USD,29.869094570781236,6.03163,Finance,Strong buy,Buy,Major banks
CIA,"Citizens, Inc.",4.22,USD,-2.7649769585253483,71946,0.6001156089614462,210605733,USD,9.59963603275705,0.4396,USD,29.828706438275244,0,Finance,Strong buy,Neutral,Life/Health insurance
OSK,Oshkosh Corporation (Holding Company),92.09,USD,-0.6901757791437513,679650,1.5506194606677897,5991835134,USD,8.9392145062028,10.3018,USD,29.81916703421334,1.99805,Consumer durables,Buy,Sell,Motor vehicles
IGIC,International General Insurance Holdings Ltd.,23.98,USD,-0.16652789342214466,50719,0.5006430903080418,1084075200,USD,7.877274817686092,3.0442,USD,29.739174906239345,0.354462,Finance,Strong buy,Buy,Financial conglomerates
